name,type,category,sourceBlock,line,alreadyWindowExposed,neededGlobalByInlineHandler
_copyShareLinkFallback,function,modal-shared,main,10535,False,False
_DEEP_LINK_KEY,assign,modal-shared,main,10549,False,False
_resolveDeepLink,function,modal-shared,main,10550,False,False
_cleanDeepLinkParam,function,modal-shared,main,10588,False,False
_stashDeepLinkIfNeeded,function,modal-shared,main,10596,False,False
_cmCache,assign,comments,main,10619,False,False
_cmTaskFbPath,function,comments,main,10624,False,False
_cmSubFbPath,function,comments,main,10625,False,False
_cmFbPath,function,comments,main,10626,False,False
_cmCacheKey,function,comments,main,10629,False,False
_cmFirebaseRead,function,comments,main,10632,False,False
_cmLoad,function,comments,main,10656,False,False
_cmMigrateLegacy,function,comments,main,10694,False,False
_cmFirebaseWrite,function,comments,main,10741,False,False
_cmFirebaseUpdate,function,comments,main,10762,False,False
_cmFirebaseDelete,function,comments,main,10786,False,False
_cmUpdateMetadata,function,comments,main,10803,False,False
_cmInvalidate,function,comments,main,10825,False,False
_cmRollbackTask,function,comments,main,10834,True,False
_descCache,assign,description-editor,main,10862,False,False
_descTaskFbPath,function,description-editor,main,10865,False,False
_descSubFbPath,function,description-editor,main,10866,False,False
_descFbPath,function,description-editor,main,10867,False,False
_descCacheKey,function,description-editor,main,10870,False,False
_compressSingleImage,function,description-editor,main,10886,False,False
_compressImagesInHtml,function,description-editor,main,10936,False,False
_descGeneratePreview,function,description-editor,main,10975,False,False
_descFirebaseRead,function,description-editor,main,10983,False,False
_descLoad,function,description-editor,main,11002,False,False
_descMigrateLegacy,function,description-editor,main,11038,False,False
_descFirebaseSave,function,description-editor,main,11080,False,False
_descSave,function,description-editor,main,11098,False,False
_descUpdateMetadata,function,description-editor,main,11127,False,False
_descInvalidate,function,description-editor,main,11147,False,False
_descRollbackTask,function,description-editor,main,11155,True,False
_payloadCountImages,function,description-editor,main,11184,False,False
_payloadLargestImage,function,description-editor,main,11191,False,False
_payloadGetDescHtml,function,description-editor,main,11204,False,False
_payloadGetCommentText,function,description-editor,main,11216,False,False
_payloadComputeMeta,function,description-editor,main,11232,False,False
_payloadUpdateMetadata,function,description-editor,main,11265,False,False
_payloadFmtBytes,function,description-editor,main,11281,False,False
_payloadColor,function,description-editor,main,11289,False,False
_renderPayloadAnalysis,function,description-editor,main,11297,False,False
_cmId,function,comments,main,11402,False,False
_cmFormatTime,function,comments,main,11405,False,False
_cmCanComment,function,comments,main,11416,False,False
_cmCanEdit,function,comments,main,11432,False,False
_cmCanDelete,function,comments,main,11441,False,False
_cmRoleLabel,function,comments,main,11450,False,False
_cmRoleBadgeClass,function,comments,main,11457,False,False
_cmItemHtml,function,comments,main,11466,False,False
_cmSectionHtmlSync,function,comments,main,11497,False,False
_descHydrate,function,description-editor,main,11551,False,False
_cmSectionHtml,function,comments,main,11562,False,False
_cmInitEditor,function,comments,main,11575,False,False
_cmHydrate,function,comments,main,11582,False,False
_cmSubmit,function,comments,main,11595,False,True
_cmNotify,function,comments,main,11671,False,False
_cmRefreshSection,function,comments,main,11695,False,False
_cmStartEdit,function,comments,main,11710,False,True
_cmCancelEdit,function,comments,main,11730,False,True
_cmSaveEdit,function,comments,main,11739,False,True
_cmDeleteComment,function,comments,main,11785,False,True
openTaskModal,function,task-modal,main,11843,False,True
_drStampCompletionDate,function,delay-reports,main,12014,False,False
updateTaskStatus,function,tasks-subtasks,main,12022,False,True
deleteTask,function,tasks-subtasks,main,12061,False,True
openCreateSubtaskModal,function,tasks-subtasks,main,12081,False,True
createSubtask,function,tasks-subtasks,main,12204,False,True
openSubtaskModal,function,task-modal,main,12264,False,True
openEditSubtaskModal,function,tasks-subtasks,main,12396,False,True
saveSubtask,function,tasks-subtasks,main,12546,False,True
updateSubtaskStatus,function,tasks-subtasks,main,12623,False,True
deleteSubtask,function,tasks-subtasks,main,12661,False,True
_sprintOptionsForProject,function,sprint-planning,main,12685,False,False
_assigneeOptionsForProject,function,projects,main,12697,False,False
_qaAssigneeOptionsForProject,function,projects,main,12725,False,False
_ctFieldError,function,task-modal,main,12740,False,False
_ctClearErrors,function,task-modal,main,12755,False,False
_msState,assign,multiselect-widget,main,12768,False,False
initMultiSelect,function,multiselect-widget,main,12770,False,False
_msRender,function,multiselect-widget,main,12791,False,False
openCreateTaskModal,function,tasks-subtasks,main,12899,False,True
ctOnProjectChange,function,task-modal,main,13056,False,True
ctOnSprintChange,function,task-modal,main,13105,False,True
ctOnStartDateChange,function,task-modal,main,13116,False,True
createTask,function,tasks-subtasks,main,13125,False,True
